reviewee location,is first,section,comments,length,shortened comment,shortened length,Tricia category,Ariel category,Ailie category,Equal,Final category
left,yes,Intro,Use 4 sources in intro! It looks like you have 4 sources but forgot to put one in.,18,,,3,3,3,true,3
right,yes,Intro,"The student does not effectively transition between the existing literature (and its gaps) and their own hypothesis. Their hypothesis seems to be a generalization of work done before, rather than burrowing deeper and finding a more specific topic to cover",40,The student does not effectively transition between the existing literature (and its gaps) and their own hypothesis. ,18,2,2,2,true,2
left,no,Intro,"The study will be specifically looking at college students, which is not mentioned until the very end of the introduction section. Mention this at the beginning as well, because it is one thing that makes your study more original and lines up nicely with ",48,"The study will be specifically looking at college students, which is not mentioned until the very end of the introduction section. ",22,2,2,2,true,2
left,no,Intro,Your sources relate well with your research question and are very relevant to your study. ,16,,,1,1,1,true,1
left,yes,Intro,"I don't think research into music is a ""new topic."" I think the way you format your citations are a bit wrong. You need a citation for ""There are many types of music, but research shows that classical music has the greatest impact on humans."" Or you could",82,"I don't think research into music is a ""new topic."" I think the way you format your citations are a bit wrong. ",23,2,2,2,true,2
right,no,Intro,Your formatting is off. You should fix that.,8,,,2,3,2,false,2
right,no,Intro,"You should not make claims that are not backed up by studies. For these claims, you should say something like ""Some people say..."" or ""It is possible...""",27,You should not make claims that are not backed up by studies. ,13,3,3,2,false,3
right,no,Intro,"You should make the hypothesis more clear, like the difference in the effect of color on men and women's appetite. ",21,,,3,3,3,true,3
left,yes,Intro,"Few grammar errors: In second paragraph, add ""What"" to ""we do not know is what people will choose to focus..."". In the third paragraph, change ""To do these"" to ""To do this"". ",33,"Few grammar errors: In second paragraph, add ""What"" to ""we do not know is what people will choose to focus..."". ",21,3,3,3,true,3
right,no,Intro,Cite source for the statistic in first paragraph and Timothy William's research.,12,,,3,3,3,true,3
left,yes,Intro,"It seems like the sources you cite have very similar study designs and objectives as your own. You should focus on emphasizing how yours is different from them. Although I said yes to the gap in literature question, I think this could be made more explici",46,It seems like the sources you cite have very similar study designs and objectives as your own. ,18,2,2,2,true,2
right,no,Intro,Your first part is very full and clear. The only part lacking is the directional difference and a hypothesis as to what will be the outcome of each kind of condition you will impose.,34,Your first part is very full and clear. ,9,1,1,1,true,1
left,no,Intro,"Citations need to be in APA style (i.e. Author, Year published)",11,,,3,3,3,true,3
left,no,Intro,Titles (ex: Introduction) are also not formatted APA style,9,,,2,2,2,true,2
left,no,Intro,The research question is also unclear. ,7,,,2,2,2,true,2
right,yes,Intro,It seems like you are not a native-English speaker. I suggest having a friend proofread this for you so your points get across clearly.,24,,,3,3,3,true,3
right,yes,Intro,The research question is unclear.,5,,,2,2,2,true,2
left,yes,Intro,"I don't know if you should include a more specific description of positive effect in your hypothesis since the rubric mentioned ""a specific measure.""",24,,,3,2,3,false,3
right,no,Intro,There is no hypothesis in the intro section.,8,,,2,2,2,true,2
left,no,Intro,"Good information, very interesting topic. However, your null and alternative hypothesis is not very clear/confused as to where it is in your introduction. Hypothesis does not have a ""directional difference based on a specific measure."" ",36,"Good information, very interesting topic. However, your null and alternative hypothesis is not very clear/confused as to where it is in your introduction. ",24,2,2,2,true,2
right,yes,Intro,Please check your grammar (proofread). Remember to put period (.) after al in in-text citation. Null and Alternative hypotheses are not clear in introduction. Your question is also not very well addressed. You state that your study will measure the rat's ,70,Please check your grammar (proofread). Remember to put period (.) after al in in-text citation. ,16,3,3,3,true,3
left,yes,Intro,"I could only find 3 sources; the 2011 one, 2008 one and the to-be-dated one. They're good sources. I liked that you elaborated on the Israeli judges study, as the effect you're looking for is very similar in nature. Some of the wording could be fixed, suc",87,"I could only find 3 sources; the 2011 one, 2008 one and the to-be-dated one. They're good sources. ",19,1,2,2,false,2
left,no,Intro,I really like this research question as it delves into a topic that has not really been explored before. I believe that maybe you should find some research that talks about how relieving stress helps makes people nicer to one another than focusing on how ,55,I really like this research question as it delves into a topic that has not really been explored before. ,20,1,1,1,true,1
right,yes,Intro,"One comment is that I found a very similar paper on Google Scholar (Ackerman, R and Lauterman, T (2012). Taking Reading Comprehension Exams on Screen or on Paper? A Metacognitive Analysis of Learning Texts under Time Pressure. Computers in Human Behavior ",89,"One comment is that I found a very similar paper on Google Scholar (Ackerman, R and Lauterman, T (2012). ",20,2,2,2,true,2
right,yes,Intro,"You haven't even give the operational definition of ""how people retain information"". A score from  memory test or anything else? A literature research might give you some basic idea about the methods.  BTW, this is really a good use of the rule.",44,"You haven't even give the operational definition of ""how people retain information"". A score from  memory test or anything else? ",22,2,2,3,false,3
left,yes,Intro,Well-worded and to the point ,6,,,1,1,1,true,1
right,no,Intro,"Could not tell if there were 4 citations, but maybe include some type of research discussing stats about skipping class, etc. Also for alt. hypothesis, make sure there is a clear distinction that students will only be doing one type of class (i.e. ""the st",51,"Could not tell if there were 4 citations, but maybe include some type of research discussing stats about skipping class, etc. ",22,3,3,3,true,3
left,yes,Intro,great use of references. they offer great background for your hypothesis,11,,,1,1,1,true,1
left,yes,Intro,"in the second to last sentence of your intro, I feel like you should reword it a bit. saying that you're ""studying the effects of music"" sound too similar to what your referred studies were doing. maybe say ""studying a different perspective of the effect ",52,"in the second to last sentence of your intro, I feel like you should reword it a bit.",19,2,3,2,false,2
right,no,Intro,"your intro is quite unclear. is it about class size, language, practice..?",12,,,2,2,2,true,2
right,no,Intro,explain your references. they are very vague. explain exactly what these studies are because you are using them as background for your hypothesis,23,,,3,3,3,true,3
right,yes,Intro,I think this author's introduction is very thorough and well done. The author addresses all the questions in the feedback. There was sufficient amount of sources that helped to prove and strengthen his research question. These sources helped to explain th,63,I think this author's introduction is very thorough and well done. The author addresses all the questions in the feedback. ,21,1,1,1,true,1
left,no,Intro,I enjoy that this author used clever ways to tie in the sources into their introduction. The research question is that which is original and explained well in connection with the sources. The author was able to point the gap in the literature and show how,54,I enjoy that this author used clever ways to tie in the sources into their introduction. ,17,1,1,1,true,1
right,no,Intro,Need to use the information from the sources more than just saying the studies exist.,15,,,3,3,3,true,3
left,no,Intro,"The introduction part is good. The author includes all cited sources needed, explains why the experiment needs to be conducted and also pointed the gap in the cited sources.",29,The introduction part is good. ,6,1,1,1,true,1
right,yes,Intro,"The introduction is good. I can only find 2 cited sources and I think you should add another page which includes all your cited works at the end of passage. Also, it would be better if you put your method introduction to the methods part.",45,The introduction is good. ,5,1,1,1,true,1
right,yes,Intro,"APA Reference sheet requires hanging indents (right click on the paragraph and choose the ""Paragraph"" option. In the indentation section, there should be a drop bar titled ""special"" and there you can choose the ""hanging"" indentation option.)",37,"APA Reference sheet requires hanging indents (right click on the paragraph and choose the ""Paragraph"" option. ",17,2,3,3,false,3
right,no,Intro,"I love your study design topic! I'm not too sure if you're allowed to include articles from sites that are not actual research, but I could be wrong. But definitely try to include more sources into your introduction. Furthermore, I can see that you're lea",76,I love your study design topic! ,7,1,1,1,true,1
left,no,Intro,"Well, u need to put the whole citation on the last page.",12,,,3,3,3,true,3
left,no,Intro,Put the hypothesis into the first part.,7,,,3,3,3,true,3
right,yes,Intro,"The intro part is pretty comprehensive, nicely formatted, points are clearly given out, it is a good intro in my personal opinion.",22,,,1,1,1,true,1
left,yes,Intro,"clear and concise, perhaps state your research question more directly - i just assumed it was something like your title",20,,,3,3,3,true,3
left,yes,Intro,"clear and concise, perhaps state your research question more directly - i just assumed it was something like your title",20,,,3,3,3,true,3
left,yes,Intro,"clear and concise, perhaps state your research question more directly - i just assumed it was something like your title",20,,,3,3,3,true,3
right,no,Intro,very clear and concise,4,,,1,1,1,true,1
right,yes,Intro,Really interesting topic and good ideas! Just make sure to check punctuations(like periods) and grammar because some of the sentences were fragmented and did not use verbs correctly. Overall great start!,31,Really interesting topic and good ideas! ,7,1,1,1,true,1
left,no,Intro,"Well done! I really like your topic and how smoothly you transitioned from old research to the research gap and your research question. If anything, I would say try to make your explanation a bit more concise because your paper is over the 5 page limit, a",59,Well done! I really like your topic and how smoothly you transitioned from old research to the research gap and your research question. ,24,1,1,1,true,1
left,yes,Intro,"Very thorough introduction section, introduces the topic nicely and I can tell exactly what you're measuring.  ",18,,,1,1,1,true,1
right,no,Intro,I can see where you are going with your research question. I suggest trying to tie the information together a bit more (ex. more background on behaviorism) so that it is more cohesive. Also I would cite the Little Albert Experiment in APA format just to b,66,I can see where you are going with your research question. I suggest trying to tie the information together a bit more (ex. ,24,3,3,3,true,3
right,yes,Intro,I think a null and alternative hypothesis should be included in this section. There should also be an explanation about the importance of the study. The beginning sentence is also slightly irrelevant; it should be catered more around the necessity of show,73,I think a null and alternative hypothesis should be included in this section. ,14,3,3,3,true,3
left,no,Intro,This introduction is very well written. I think the hypothesis just needs to state whether the mental health is expected to worsen or become better. ,26,This introduction is very well written. ,7,1,1,1,true,1
left,no,Intro,How are the participants selected in the study. Are experimenters going to go out and recruit them? Can they sign up online? ,23,,,2,2,3,false,2
left,no,Intro,Talk about the relevance of the study. Why should I care?,11,,,3,3,3,true,3
right,no,Intro,"I think you should work a bit more on the organization of the introduction. All your references and points are valid and support your study design, so maybe a little bit more of organization would make it even better. ",40,I think you should work a bit more on the organization of the introduction. ,15,2,3,2,false,2
left,yes,Intro,"Explain a bit more about why your study will find better correlations or effects compared to the studies that have already been done. If possible, include whether you expect better scores, no change, or worse scores with more sleep. Also in your citations",54,Explain a bit more about why your study will find better correlations or effects compared to the studies that have already been done. ,24,3,3,3,true,3
left,no,Intro,"As our professor says, we don't need a abstract. You can show more important details about the old study you mentioned, like the beginning hypothesis, about the author , the method they use and the final result they got, and how it related to your study.",46,"As our professor says, we don't need a abstract. ",10,2,2,2,true,2
left,yes,Intro,"Although you have put 4 references you only actually use or refer to 3 of them. There is no clear hypothesis, you haven't stated any direction the experiment would go in like the "" natural lighting will increase productivity"".",39,Although you have put 4 references you only actually use or refer to 3 of them. ,17,2,2,2,true,2
left,no,Intro,I don't think the research question is original as it appears in the first page of google scholar.,18,,,2,2,2,true,2
right,no,Intro,"I like your topic because  i'm a big fitness enthusiast . There are studies that show that eating high calories does not always lead to fullness. For instance, an 800 calorie chocolate bar vs 800 calories worth of oats. Because the oats takes up more spac",83,I like your topic because  i'm a big fitness enthusiast . ,13,1,1,1,true,1
left,yes,Intro,You should add more more studies that is relevant to your study. Be more specific and be more descriptive what your study will be about. ,26,You should add more more studies that is relevant to your study. ,13,3,3,3,true,3
right,no,Intro,"Clear and explicit mention of your research goal and hypothesis within the intro section would be appreciated. Also, when I searched ""cannabis reaction time"" through google scholar, the second article listed, ""Marijuana, Memory, and Perception (Dornbush e",52,Clear and explicit mention of your research goal and hypothesis within the intro section would be appreciated. ,18,3,3,3,true,3
right,no,Intro,And perhaps more background info on cannabis and how you formed your hypothesis would help understand the paper more.,19,,,3,3,3,true,3
left,yes,Intro,"2. Also, a explanation of why your study is relevant to the field would be appreciated.",16,,,3,2,3,false,3
left,yes,Intro,"3. More background information on embodied cognition, perhaps give a citation to previous researches regarding the topic?",17,,,3,3,3,true,3
left,yes,Intro,"No need for abstract. You listed four sources, but two of them are the same so you really only have three. You do not specifically state your hypothesis (how you think the education difference will affect the twins), but you do hint at at; be explicit. ",47,"No need for abstract. You listed four sources, but two of them are the same so you really only have three. ",22,2,2,2,true,2
left,no,Intro,Please cite your sources in the introduction and use them to give reader background on what has already been done/observed. It will also give you a way to talk about how your hypothesis is unique and different from what has already been observed and teste,45,Please cite your sources in the introduction and use them to give reader background on what has already been done/observed. ,21,3,3,3,true,3
left,no,Intro,Should put in text citations to give credit to the sources of information. Not sure what exactly the hypothesis was since the last sentence was fairly vague.,27,Should put in text citations to give credit to the sources of information. ,14,3,3,3,true,3
left,yes,Intro,The intro did really well at explaining what was going on based on prior studies. I think the hypothesis could have been expanded more to explain how it differs from the other studies.,33,The intro did really well at explaining what was going on based on prior studies. ,16,1,1,1,true,1
left,yes,Intro,Needs a better research question and explain more clearly what you are going to be measuring to address your hypothesis. Also needs to point out holes in the scientific literature and what you are going to be doing differently from the research in the lit,46,Needs a better research question and explain more clearly what you are going to be measuring to address your hypothesis. ,21,3,2,3,false,3
right,no,Intro,Be sure to point out gaps in the 4 pieces of literature and how the background of the literature can help you with your study.,25,,,3,3,3,true,3
right,no,Intro,A references page is needed. Good resources in terms of relevance. Try to point out the gap better and address that gap.,22,,,3,3,3,true,3
right,no,Intro,The first paragraph is really awkward. Consider adjusting.,8,,,2,2,2,true,2
left,yes,Intro,"You listed two different questions in your introduction that are related but not necessarily the same. Try to hone in the question that you're asking. In the first question, you ask, assuming natural light makes a difference. State your question as a stat",72,You listed two different questions in your introduction that are related but not necessarily the same. ,17,2,2,2,true,2
left,yes,Intro,"I'm a bit confused by your citation in your intro. Is it one large source (with multiple authors) or multiple sources? Make sure you cite correctly, but otherwise, a great intro to your study design!",35,I'm a bit confused by your citation in your intro. Is it one large source (with multiple authors) or multiple sources? ,22,2,2,2,true,2
left,yes,Intro,I didn't see any research hypothesis just experimental measures.,9,,,2,2,2,true,2
left,no,Intro,"I couldn't seem to find your hypothesis in the introduction section. I think it's a good start, but would add/make clear your hypothesis. Also, I don't like the sentences that, for example, just say ""The motivation to learn affects a student???s academic ",79,"I couldn't seem to find your hypothesis in the introduction section. I think it's a good start, but would add/make clear your hypothesis. ",24,3,2,3,false,3
left,no,Intro,The citations were correctly used and was very relevant to the study design. ,14,,,1,1,1,true,1
right,yes,Intro,"The introduction should have all the facts about your study design with citations. Your introduction had concrete facts, but it was not backed up by any citations. I think it is best to clearly state what your study design is about in the first sentence s",83,The introduction should have all the facts about your study design with citations. ,14,3,2,3,false,3
left,no,Intro,"I think this is well written and I could easily follow your ideas. However, I couldn't find a true hypothesis (i.e. I believe subjects given a choice in which writing instrument they chose will have higher word count essays and denser drawings than subjec",93,"I think this is well written and I could easily follow your ideas. However, I couldn't find a true hypothesis (i.e. ",22,2,2,2,true,2
right,yes,Intro,"This research has been done and reported many times, with many students, many ages, in many countries. Maybe try and find something about this research people haven???t covered and do a study for that.",34,"This research has been done and reported many times, with many students, many ages, in many countries. ",18,2,2,2,true,2
right,yes,Intro,"I am not sure why you started talking about color and then didn???t use it in your study, it???s a little confusing. If it was just an example of how we encode memory by attaching it to something, you could probably do without it.",44,"I am not sure why you started talking about color and then didn't use it in your study, it's a little confusing. ",23,2,2,2,true,2
right,yes,Intro,"I think in this section you rely on quotes a lot. If you can say the information in your own words, that is better as long as you cite it.",30,I think in this section you rely on quotes a lot. ,12,2,2,2,true,2
left,yes,Intro,Good use of past experiments to provide background. Perhaps elaborate more on the rat experiment for clarification in regards to how it will relate closely to what you're testing.,29,Good use of past experiments to provide background. ,9,1,1,1,true,1
right,no,Intro,"The biggest issue that I see here is that there are too many potential confounds in this experiment.  For example, how do you take into the account that some males might find washing dishes an attractive action while others may not? You mentioned that the",71,The biggest issue that I see here is that there are too many potential confounds in this experiment. ,19,2,2,2,true,2
left,yes,Intro,maybe including the scientific evidences about the negative effects of reading e-books.,12,,,3,2,3,false,3
left,yes,Intro,"Citing the sources which you knew reading on a screen lower the speed of reading, comprehension, etc.",17,,,3,2,3,false,3
left,no,Intro,"Including your research question in the introduction part! For me, the background information seems weight too much in the introduction part, maybe you could choose some more necessary information, and focusing on your own research topic more.",37,Including your research question in the introduction part! ,9,3,2,3,false,2
right,no,Intro,Wasn't really sure what your research question was as a person that was reading it with no background in this research. I couldn't distinguish if one factor showed causality towards another. But you did a good job explaining certain terms like myers brigg,51,Wasn't really sure what your research question was as a person that was reading it with no background in this research. ,22,2,2,2,true,2
left,yes,Intro,"I couldn't really identify what was the gap in the literature of your research. Maybe I missed it, but as a reader not knowing anything about this research I couldn't tell what was lacking from the literature. ",38,I couldn't really identify what was the gap in the literature of your research. ,15,2,2,2,true,2
right,yes,Intro,"Nice job introducing the topic, but make sure to cite at least 4 sources in your intro.",17,,,3,3,3,true,3
left,no,Intro,Nice job introducing the topic. Do check if you need to cite 4 sources in your intro.,17,,,3,3,3,true,3
left,yes,Intro,"Short intro, explains the chemical effect of exercising and its potential effect on self-esteem. It seems as though the sources used are very similar mostly being chemical. Along with that I think different effects of exercising could be used for self-est",64,"Short intro, explains the chemical effect of exercising and its potential effect on self-esteem. ",15,1,1,1,true,1
right,no,Intro,"Intro was good, short and concise. Though there is only three sources, but a good use of sources which are different from each other but is related to the hypothesis. ",31,"Intro was good, short and concise. ",7,1,1,1,true,1
left,no,Intro,"Well thought of experiment, introducing all concepts to be discussed in paper. Thoroughly explained the differences in the diets, and what is to be expected. ",26,"Well thought of experiment, introducing all concepts to be discussed in paper. ",13,1,1,1,true,1
right,yes,Intro,"Thoroughly thought experiment. Having a twist on learning from videos, to obtain a more efficient learning concept.",17,,,1,1,1,true,1
right,yes,Intro,I am not too sure whether this hypothesis is falsifiable because you aren't arguing anything. Is this suppose to be a correlation experiment? Maybe you could just be more specific about the hypothesis and what you want to accomplish because seeing how man,57,I am not too sure whether this hypothesis is falsifiable because you aren't arguing anything. Is this suppose to be a correlation experiment? ,24,2,2,2,true,2
right,yes,Intro,"Grammar mistakes, APA format mistakes - recommend going to the writing center ",13,,,3,2,3,false,3
right,no,Intro,"No clear thesis, further expand your Introduction",7,,,2,3,2,false,2
left,yes,Intro,"it is not well organized. i saw a block of text and was immediately turned away by that. must be more organized in that, you need to break up the intro into multiple paragraphs based on topic of discussion, because it is way too much for a reader to diges",50,it is not well organized. i saw a block of text and was immediately turned away by that. ,19,2,2,2,true,2
right,no,Intro,Very strong. Shows a gap in research which leads very well into the rest of the design. It is well organized too.,22,,,1,1,1,true,1
right,no,Intro,Intro is very long-winded. You spend most of it addressing only one source. I'd recommend shortening to a one-sentence summary of each source.,23,,,3,3,3,true,3
right,no,Intro,"Your sources are very specific, but your research question itself is fairly broad and generic.",15,,,2,2,2,true,2
right,yes,Intro,"Thesis sounds fairly unoriginal... I feel as though I've read about it before, and something very similar came up as the first link when I searched 'studying AND ""time of day""' in Google Scholar.",34,Thesis sounds fairly unoriginal... ,5,2,2,2,true,2
right,yes,Intro,May want to try to narrow your thesis down to something a little more specific and unique.,17,,,3,3,3,true,3
left,no,Intro,Only cited 3 sources ,5,,,2,2,2,true,2
left,no,Intro,Very interesting research idea,4,,,1,1,1,true,1
left,no,Intro,Good use of sources,4,,,1,1,1,true,1
left,yes,Intro,There are no sources cited,5,,,2,2,2,true,2
right,no,Intro,"Your intro shows knowledge of the app gaming scene, but isn't very clear about what exactly you're testing. I don't really know your research question until the discussion.",28,"Your intro shows knowledge of the app gaming scene, but isn't very clear about what exactly you're testing. ",19,2,2,2,true,2
right,no,Intro,Your introduction is perfect! I can't think of any suggestions! Good job :),13,,,1,1,1,true,1
left,yes,Intro,"Your abstract should reflect a little more about your own research, not just others???. You provide a strong thorough introduction. I put NO to the question about whether the research question is original or not because it was on the first page of google ",66,"Your abstract should reflect a little more about your own research, not just other's. You provide a strong thorough introduction. ",21,3,3,3,true,3
left,no,Intro,I like how original this idea was it was very new to me but I feel like I could follow it pretty well. I would be careful because you're introduction did not have many sources but I'm not sure how much of that information you already kmew on your own but ,81,I like how original this idea was it was very new to me but I feel like I could follow it pretty well. ,24,1,1,1,true,1
left,no,Intro,I like the way you describe the situation and how you are planning to run your experiment. But you don't go so much in detail on how will the participants memory will be affected emotionally. As well for the citation make sure you include the whole inform,73,I like the way you describe the situation and how you are planning to run your experiment. ,18,1,1,1,true,1
left,yes,Intro,"You did not include a literature review. Your introduction paragraph was well written that it caught my attention. I think you should expand a little bit more on the connection between language, memory, and taste, because I thought that your research hypo",58,You did not include a literature review. Your introduction paragraph was well written that it caught my attention. ,19,2,2,2,true,2
right,yes,Intro,please put references in the intro,6,,,3,3,3,true,3
left,yes,Intro,"The fourth line refers to ""scents"". Of course scents influence taste, but I think ""flavors"" would be a better word.",20,,,3,3,3,true,3
left,no,Intro,"I think your question isn't completely original because as you mention, there are many studies regarding music therapy for individuals with autism. But it is true that hip hop specifically has not been extensively studied.",35,"I think your question isn't completely original because as you mention, there are many studies regarding music therapy for individuals with autism. ",23,2,2,2,true,2
left,yes,Intro,"The first paragraph seems a little wordy, and irrelevant to your topic.",12,,,2,2,2,true,2
left,no,Intro,Good luck on your lit review part!,7,,,1,1,1,true,1
left,yes,Intro,"It's great that you addressed explicitly that existing literature does not account for a variety of musical genres and their effect on concentration. However, I think that to link your literature to your research question more effectively, you might want ",74,It's great that you addressed explicitly that existing literature does not account for a variety of musical genres and their effect on concentration. ,24,1,1,1,true,1
left,no,Intro,"Looks pretty good, just needs more literature ",8,,,2,3,2,false,2
left,no,Intro,"Need past research,  their analysis, and point the gap in literature and explain how the research will address the gap. Also need to address your hypothesis in this section. Interesting topic though",33,"Need past research,  their analysis, and point the gap in literature and explain how the research will address the gap. ",22,3,3,3,true,3
