ID,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original
60,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,Application error.,2,2,0,0
61,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,Typing an incorrect username will pass the login page but will give a 404 error.,15,2,0,0
62,3,5,Login screen is FAKE and simulates the experience of logging in. (no credit if you implement a real login screen; we want to see you create a fake one first),1,"You didn't provide a login, but that's fine. I didn't want one.",12,2,0,0
63,3,5,Login screen is FAKE and simulates the experience of logging in. (no credit if you implement a real login screen; we want to see you create a fake one first),1,"Great fake login screen. Don't work anymore on it, despite what any future rubrics say.",15,1,0,0
64,3,5,Login screen is FAKE and simulates the experience of logging in. (no credit if you implement a real login screen; we want to see you create a fake one first),1,The first page should be linked to the login/signup process.,10,3,0,0
65,3,5,Login screen is FAKE and simulates the experience of logging in. (no credit if you implement a real login screen; we want to see you create a fake one first),1,Make sure it fits a mobile layout (and have a logout button)!,12,3,0,0
66,3,5,Login screen is FAKE and simulates the experience of logging in. (no credit if you implement a real login screen; we want to see you create a fake one first),1,The home page should be the login/signup screen.,8,3,0,0
67,3,5,Login screen is FAKE and simulates the experience of logging in. (no credit if you implement a real login screen; we want to see you create a fake one first),1,The login button seems not to be working. ,8,2,0,0
68,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",0,You need to show a comparison between your development plan from last week as compared to this week.,18,3,1,1
69,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",1,should be more detailed...,4,2,0,0
70,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",0,Estimated time and actual time taken columns are missing.,9,2,1,0
71,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",1,Might be easier to group your tasks by assignment so that it matches the grading rubric better,17,3,0,0
72,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",1,Make sure you include who did what task so I can see the distribution of work,16,3,1,1
73,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",1,You have all these unnecessary columns that make it hard to read.,12,2,0,0
74,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",1,Break down _blank_ into smaller subtasks.,6,3,0,0
75,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",1,Doesn't look like you put in much work this week. Try to step it up next week.,17,2,0,0
76,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",1,Each task is still quite big and hardly any planning or breaking down effort is done.,16,2,1,0
77,4,0,"Development plan is attached as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week",1,It would be good if the task description was a little more detailed,13,3,1,0
78,5,0,"GitHub repository URL and your deployed app's URL are present, and both contain working code.",1,Please don't forget to have working links by the 12am deadline.,11,3,0,0
79,5,0,"GitHub repository URL and your deployed app's URL are present, and both contain working code.",0,It appears that this is not the right Github repo. Please clarify.,12,2,0,0
80,5,0,"GitHub repository URL and your deployed app's URL are present, and both contain working code.",1,Please select all relevant pages in the PDF!,8,3,0,0
81,5,0,"GitHub repository URL and your deployed app's URL are present, and both contain working code.",1,Please talk to me after class tomorrow.,7,3,0,0
82,5,0,2-sentence task description is present,1,Task is a bit too short,6,2,0,0
83,5,0,2-sentence task description is present,1,Logging in/out shouldn't be part of the task.,8,2,2,0
84,5,0,2-sentence task description is present,1,Try to make the task sound more natural.,8,3,0,0
85,5,1,"Task description does not give specific instructions, but instead describe a task that a real user might want to do",0,both not there,3,2,0,0
86,5,1,"Task description does not give specific instructions, but instead describes a task that a real user might want to do.",1,Make sure your chosen task is complete in all respects.,10,3,0,0
87,5,1,"Task description does not give specific instructions, but instead describes a task that a real user might want to do.",0,It does not sound natural (and a new user will not know what _blank_ means).,15,2,0,0
88,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,0,I have no idea how to get to _blank_,9,2,0,0
89,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,1,I guess....,2,1,0,0
90,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,1,no ability to save,4,2,0,0
91,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,0,No _blank_ present on the _blank_ page,7,2,0,0
92,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,0,Can't log into the session that you mentioned.,8,2,0,0
93,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,0,Couldn't _blank_.,2,2,0,0
94,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,0,_blank_ functionality does not work as it's supposed to. ,9,2,0,0
95,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,1,The _blank_ appears to be random.,6,2,0,0
96,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,0,Make sure to choose an important and *working* task.,9,3,1,1
97,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,1,"Overall, good job. Make sure to reflect on the comments you received during the studio!",15,1,0,0
98,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,1,Good job,2,1,0,0
99,5,2,The app's functionality for the described task is complete in its interaction and causes no errors,0,Application error,2,2,0,0
100,5,2,Extra credit,1,Great job! ,2,1,0,0
101,5,2,Extra credit,1,Your app works perfectly well with no errors and also has some nice interactions.,14,1,0,0
102,5,2,Extra credit,1,Love the effort you've put into the UI. Great job guys :),12,1,0,0
103,5,2,Extra credit,1,Great job! I enjoyed the consistent interaction flow & aesthetics throughout the prototype. I'm looking forward to its complete implementation in the coming week!,24,1,0,0
