ID,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original
70,1,5 6,Protocol plans to test a completed feature of the app that contributes meaningfully to the app's overall goal.,0,The instructions don't give the user a specific task to complete. It should test out the core functionality in a real scenario. ,22,3,2,2
71,1,5 6,Protocol plans to test a completed feature of the app that contributes meaningfully to the app's overall goal.,1,It might be useful to emphasize through the test the importance of _blank_.,13,3,0,0
72,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",0,You need to show a comparison of your updated development plan with your earlier one.,15,3,0,0
73,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,"next time make your dev plan bigger, can barely tell its been updated",13,3,0,0
74,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,provide more details on your development plan,7,3,0,0
75,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,The app looks really good compared to how I last saw it. Good job on the progress! ,17,1,0,0
76,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,"I encountered one minor and major bug, both noted at the other rubric.",13,2,0,0
77,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,The protocol is well designed and puts a good focus on the interactions. ,13,1,0,0
78,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,The core functionality of the application still appears to be missing. I would encourage your team to focus on that aspect.,21,3,0,0
79,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",0,"No plan for testing and A7, A8",7,2,0,0
80,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",0,Unmet,1,2,0,0
81,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,Please provide it in the correct orientation as far as possible! ,11,3,0,0
82,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,good use of your plan so far,7,1,2,0
83,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,"need to see more progress on your app, not putting in much work for 3 people",16,3,0,0
84,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",0,"Tasks should be a bit more specific. Also, breakdown of tasks among the team seems a bit uneven.",18,3,0,0
85,3,0 1 2,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",0,Unclear whether these tasks were completed as there isn't anything input with regards to whether the task is in progress or complete.,22,2,0,0
86,2,,Extra Credit,1,Your _blank_ page has a dead link. That's the only noticeable feature that's lacking.,14,2,0,0
87,2,,Extra Credit,0,Your app does not have enough interactivity. It's very static.,10,2,0,0
88,2,,Extra Credit,1,App works really well as far as the testing went.,10,1,0,0
89,2,,Extra Credit,1,Really great job this week. We believe you guys went above and beyond the criteria of this assignment. ,18,1,0,0
90,2,,Extra Credit,1,Rewarded one point for the app's polishedness,7,1,0,0
91,2,,Extra Credit,0,It's almost there. Keep it up!,6,1,0,0
92,2,,Extra Credit,1,Point for working on the visual design from the beginning!,10,1,0,0
93,2,,Extra Credit,1,Cool functionality when it works!,5,1,0,0
