assignment,comments,length,shortened comment,shortened length,Ailie category,Tricia category,Ariel category,Equal,Final category
1,"As a follow up, can you think about the downsides to designing such a general purpose app/program? With a lot of users, it would be attractive and work well. What might you encounter when trying to get the initial batch of users?",42,"As a follow up, can you think about the downsides to designing such a general purpose app/program? ",18,3,2,3,false,3
1,A lot of this doesn't seem very well connected to a *Freshman* experience.,13,,,2,2,2,true,2
1,Brainstorming: focus on a larger number of diverse concepts (brainSTORM),10,,,3,3,3,true,3
1,"Prototype: for an application, should be something that a user testing would be interacting with",15,,,2,2,3,false,3
1,ensure you're completing the entire assignment -- no video questions or prototypes,12,,,3,3,3,true,3
1,"Brainstorming: focus more on generating a diverse set of concepts, rather than multiple deeper details on a single potential solution",20,,,3,3,3,true,3
1,Missing questions.,2,,,2,2,2,true,2
1,nice work -- ensure you complete the full assignment e.g. video questions,12,,,3,3,3,true,3
1,Well done!,2,,,1,1,1,true,1
1,"Prototype could be more complete to help simulate the experience with a partner to receive feedback. In line with that, want to avoid explicit floating labeling of what things do on a prototype. ",34,Prototype could be more complete to help simulate the experience with a partner to receive feedback. ,17,3,3,2,false,2
1,great work,2,,,1,1,1,true,1
1,Well done!,2,,,1,1,1,true,1
1,"I like your concept of an application of doing matching work, but ultimately giving the last iteration of selection to the user. There can be many benefits to this.",29,"I like your concept of an application of doing matching work, but ultimately giving the last iteration of selection to the user. ",23,1,1,1,true,1
1,The prototype is a little lacking in terms of giving a user that is testing a interactive experience to work with. Perhaps a little more integration with the email sent out. Is the video embedded? Is it a separate page?,40,The prototype is a little lacking in terms of giving a user that is testing a interactive experience to work with. ,22,2,3,2,false,2
1,"Also something to think about: if a system is difficult, when is it better to add more instructions vs. redesign the system?",22,,,2,2,2,true,2
1,ensure you're completing entire assignment -- no prototype present.,9,,,3,3,3,true,3
1,nice work,2,,,1,1,1,true,1
1,"Prototype was good, but no video questions component was added",10,,,2,2,1,false,2
1,"sketch could be better, but gave point anyway. video questions?",10,,,2,2,2,true,2
1,"Great job on the assignment, but your online submission doesn't contain the first worksheet from class! ",17,,,2,2,1,false,2
1,"Prototype could be stronger and more tied to previous ideas. ""Do the preparation for them"" <- how can you design the emails to make the students feel more like this and less like receiving your average spam/university email",38,Prototype could be stronger and more tied to previous ideas. ,11,3,2,3,false,3
1,good work,2,,,1,1,1,true,1
1,Great first interview question.,4,,,1,1,1,true,1
1,"great work, but you focused in too much on your prototype, reflected in your use of a computer to make it. remember not to fixate too early on an idea, because a better one might come along and you want to be flexible.",43,"great work, but you focused in too much on your prototype, reflected in your use of a computer to make it. ",22,2,2,3,false,2
1,brainstorming and sketching seem to be a strong point.,9,,,1,1,1,true,1
1,Dig a little deeper on your point of view.,9,,,2,2,2,true,2
1,"Dig deeper on your point of view to help you generate more insightful ideas and prototypes. Also, not having video questions hurt your score.",24,,,2,2,2,true,2
1,Only one worksheet submitted.,4,,,2,2,2,true,2
1,Brainstormed only on one idea. Quantity is important!,8,,,2,2,2,true,2
1,Brainstorming: focus on generating a diverse set of concepts (not just one),12,,,3,3,3,true,3
1,good work -- strive for more depth,7,,,2,2,2,true,2
1,"Good to see divergent ideas (e.g. not just a similar solution over and over) within each interview, though your in-class and freshman interviews tended toward similar ideas.",27,Good to see divergent ideas (e.g. ,7,1,2,1,false,1
1,"Brainstorming: focus more on generating a diverse set of concepts, rather than all of the details in a single direction/possible solution.",21,,,3,3,3,true,3
1,Well done! Just missing video questions.,6,,,2,2,2,true,2
1,I like the idea of making the org page more of a portal worth re-visiting instead of a static list. ,21,,,1,1,1,true,1
1,Good video  questions. I recommend checking out Dan Russel's seminar this spring when it is announced in class because he covers both of these questions really well. Dan's work actually involves observing people in their own homes in an unobtrusive manner,49,Good video  questions. ,5,1,1,1,true,1
1,"Prototype: to get the best results out of testing a prototype, you wouldn't want external labels and explanations of how it works. Otherwise, the feedback given back from the user might be a little too informed.",36,"Prototype: to get the best results out of testing a prototype, you wouldn't want external labels and explanations of how it works. ",23,2,3,3,false,3
1,"I like the very unique approach to interviewing the Freshman though! Most people focus on asking about the negatives, but you chose to inquire more on the positives. ",29,I like the very unique approach to interviewing the Freshman though! ,12,1,1,1,true,1
1,"Prototype: specific insights from the interview weren't applied too much, seems more like a general catch-all motivation machine. Ajay's case seems to revolve a lot around scores and exams, how might we redesign the experience to maintain motivation for h",43,"Prototype: specific insights from the interview weren't applied too much, seems more like a general catch-all motivation machine. ",19,2,2,2,true,2
1,nice work !,3,,,1,1,1,true,1
1,"great work, but you focused in too much on your prototype, reflected in your use of a computer to make it. remember not to fixate too early on an idea, because a better one might come along and you want to be flexible.",43,"great work, but you focused in too much on your prototype, reflected in your use of a computer to make it. ",22,2,2,2,true,2
1,Sketch should be separate from the prototype. No questions or reflection component.,12,,,3,3,3,true,3
1,nice work!,2,,,1,1,1,true,1
1,"Assignment is missing many of the components, such as the interview, sketch, and reflection components.",15,,,2,2,3,false,2
1,finally graded. :D,3,,,1,1,1,true,1
1,questions missing. please turn them in by 2/26.,8,,,3,2,3,false,3
1,Had to take 2 points off because I didn't see your reflection questions for the video! ,17,,,2,2,3,false,2
1,"Prototype idea was a bit generic, tried to solve all problems and very similar to existing ucsd app, but otherwise good. I didn't see your video questions in the online submission. Let me know if I should check your physical submission. ",42,"Prototype idea was a bit generic, tried to solve all problems and very similar to existing ucsd app, but otherwise good. ",22,2,2,2,true,2
1,questions missing? seem to have strength in ideating and sketching out ideas.,12,,,2,2,2,true,2
1,Prototype did not reflect the POV from your interviews. Good insights about the struggles of international students.,17,,,2,2,2,true,2
2,Good job!  -1 b/c your talk went long,9,,,2,2,1,false,2
2,"""Surprisingly, I found out that two of my participants prefer not to use their phones unless necessary to find their way to places"" -- great",25,,,1,1,1,true,1
2,missing third picture,3,,,2,2,2,true,2
2,"User needs are *not* application based -- the assignment asked to list the needs, not solutions that could be used to address the needs",24,,,2,2,2,true,2
2,Second photo caption does not articulate a breakdown,8,,,2,2,2,true,2
2,Make more explicit connection in the observations to how the stories affected the user and caused them to empathize with the original poster. We want more than a factual recounting of your observation.,33,Make more explicit connection in the observations to how the stories affected the user and caused them to empathize with the original poster. ,24,3,3,3,true,3
2,Needs are expressed too much as specific solutions or features.,10,,,2,2,2,true,2
2,"Needs: some redundancies in needs, try to be more critical of what you observed and dig for the deep motivations that cause what you saw",25,,,3,3,3,true,3
2,Nice work. Some user *needs* are framed as user *wants* -- these are *very* different things,16,,,2,2,2,true,2
2,Good job!,2,,,1,1,1,true,1
2,"Observations: would like to see a lot more insightful commentary on the breakdowns/design opportunities for each your observations. It seemed like the main issue you brought up was that they had to use pictures of schedules to sync up. In that activity, w",55,Observations: would like to see a lot more insightful commentary on the breakdowns/design opportunities for each your observations. ,19,2,2,2,true,2
2,"Photo 1: similar to above, it's not clear where the breakdown/design opportunity is in this photo/caption. Having to default to using your phone to engage in the activity is not so much of a breakdown. Where exactly was the pitfall of this interaction?",43,"Photo 1: similar to above, it's not clear where the breakdown/design opportunity is in this photo/caption. ",17,2,2,2,true,2
2,Needs: some redundancies ,4,,,2,2,2,true,2
2,"Observations: Remember that you are trying to observe exchange in social situations. Some of your observation discussions don't seem to relate that much to that activity. For example, the breakdown with Colin doesn't really show any slips with him exchang",77,Observations: Remember that you are trying to observe exchange in social situations. ,13,2,2,2,true,2
2,Photo 1: The photograph does not really indicate the breakdown/opportunity described in the caption,14,,,2,2,2,true,2
2,Needs: A few of these needs aren't as relevant to the activity you observed,14,,,2,2,2,true,2
2,Needs: there are a few redundant needs that could be squashed into one,13,,,2,3,3,false,3
2,"Interesting problem space, animal companionship definitely has many opportunities to be enhanced with technology. Transferring ownership, temporary or permanent, is definitely an often repeated process that is currently done manually and with varying amou",45,"Interesting problem space, animal companionship definitely has many opportunities to be enhanced with technology. ",15,1,1,1,true,1
2,"Clever choice of social media medium to reach more diverse participants and also have some data automatically logged for you. Interesting stuff to think about. When being connected to so many people, how can we selectively exchange personal thoughts while",43,Clever choice of social media medium to reach more diverse participants and also have some data automatically logged for you. ,21,1,1,1,true,1
2,"Needs: Some needs are redundant. Kyra connecting to people[known/less known] spontaneously to talk to, Vivian having a less distracting social media, etc. ",23,,,2,2,2,true,2
2,Was looking for a few more photos highlighting breakdowns.,9,,,3,2,2,false,2
2,"Nice work -- it could also be interesting to interview someone on the other side of the event planning equation, e.g. an event goer -- what is their threshold for attending an event?",33,"Nice work -- it could also be interesting to interview someone on the other side of the event planning equation, e.g. ",22,3,3,3,true,3
2,Photo captions do not articulate breakdowns,6,,,2,2,2,true,2
2,be more clear about your breakdowns and opportunities,8,,,2,2,2,true,2
2,Very thorough! Great job!,4,,,1,1,1,true,1
2,Observations: There isn't a very clear description of what particular activity you were observing. The main detail mentioned is only what kinds of questions you asked in the interviews. I would have liked to see more insight on the things observed while y,48,Observations: There isn't a very clear description of what particular activity you were observing. ,15,2,2,2,true,2
2,Needs: A number of redundancies needs that aren't particularly critical enough to warrant a design project. We want to really think about what was observed and what motivations would drive peoples' actions in the activity you observed.,37,Needs: A number of redundancies needs that aren't particularly critical enough to warrant a design project. ,17,2,2,2,true,2
2,"Observations: could be more clear on where exactly the breakdowns/design opportunities are. Asking whether or not they would be willing to exchange for food, recipes, and cooking lessons is a leading question and does necessarily give reliable insight on ",43,Observations: could be more clear on where exactly the breakdowns/design opportunities are. ,13,2,2,2,true,2
2,Photo #2: does not have a clear breakdown/design opportunity. Just describes how Dan goes about his routine.,17,,,2,2,2,true,2
2,Needs: some redundant needs,4,,,2,2,2,true,2
2,"Great work! A couple of your needs are more features than needs. Other than that, great!",16,,,2,2,1,false,2
2,Ensure that needs are *not* articulated as solutions or features.,10,,,2,3,3,false,3
2,"The observations need to reflect on what the activity on facebook affected each participant. The second observation had this, but the others didn't.",23,,,2,2,2,true,2
2,"As a longstanding method of spreading awareness, flyering definitely has room for interesting design improvements. It was good that you observed different aspects of the flyering process, from the conversation to the travel of the physical handout. ",38,"As a longstanding method of spreading awareness, flyering definitely has room for interesting design improvements. ",16,1,1,1,true,1
2,Observations: No description of activity and it's relation to brief,10,,,2,2,2,true,2
2,"Needs: A number of needs that you generated do not seem relevant to the activity that you observed, nor the breakdowns that you found. ",25,,,2,2,2,true,2
2,"Observations: Commentary here could be more clear on what breakdowns/design opportunities you found while observing activities. You mention a lot of he said/she said, but not much of really detailing particular things that actually happened while you were",68,Observations: Commentary here could be more clear on what breakdowns/design opportunities you found while observing activities. ,17,2,2,2,true,2
2,Photo 2: No clear demonstration of breakdown/design opportunity,8,,,2,2,2,true,2
2,Needs: A number of redundancies in needs listed. ,9,,,2,2,2,true,2
2,"Fantastic job with the organization of your assignment. Most of the breakdowns you observed seemed to revolve around reminders, which does make sense. I would have been interesting to see if there are any parts of the whole exchange that could yield inter",119,"Fantastic job with the organization of your assignment. Most of the breakdowns you observed seemed to revolve around reminders, which does make sense. ",24,1,1,1,true,1
2,Needs: Some of the needs were redundant.,7,,,2,2,2,true,2
2,Well done! Great job finding a diverse set of participants with meetings involving members with varying levels of commitment. A core problem with many different possible breakdowns. ,28,Well done! Great job finding a diverse set of participants with meetings involving members with varying levels of commitment. ,20,1,1,1,true,1
2,"Observations: no discussion of what the activity is/relation to brief. In general, missing a lot of substance regarding breakdowns/opportunities for design distilled from observation. Not very clear what exactly is being observed, and what you observed wa",108,Observations: no discussion of what the activity is/relation to brief. ,11,2,2,2,true,2
2,Needs: some redundancies/lack of relevance in needs. ,8,,,2,2,2,true,2
2,Your ideas and topic are very interesting! But the sketches submitted demonstrated features or solutions. They should show users in the situation and the breakdowns in that situation.,28,Your ideas and topic are very interesting! But the sketches submitted demonstrated features or solutions. ,16,2,2,2,true,2
2,Very thorough! Your needs were articulated more as features though. Be careful about being too solution-focused in this first step,20,,,2,3,2,false,3
2,Nice work -- ensure to not articulate needs as solutions.,10,,,3,3,3,true,3
2,"Ensure that you are not articulating needs as solutions or features: e.g. ""Jason needs an App that can help him find activity for him""",24,,,3,3,3,true,3
2,Second photo's caption does not express a breakdown,8,,,2,2,2,true,2
2,Ensure that you are not articulating user needs as solutions !,11,,,3,3,3,true,3
2,"I like the topic, but wanted to see a more explicit discussion of breakdowns in your notes and photo captions.",20,,,3,2,2,false,2
2,well done! ,3,,,1,1,1,true,1
2,Good job!,2,,,1,1,1,true,1
2,Wanted to see a clearer connection to the Quantified brief.,10,,,2,2,2,true,2
2,Very thorough. Focus on being a little more concise next time. ,12,,,3,3,2,false,3
2,"good effort, but shopping is overplayed, and the observations and needs from Andrea are irrelevant to a mobile app solution",20,,,2,2,2,true,2
2,Ensure that you are *not* articulating user needs as solutions !,11,,,3,3,3,true,3
2,Good job!,2,,,1,1,1,true,1
2,"The observations are only factual accounts, and doesn't demonstrate any empathetic reflection on how the usage of instagram affected the participants. Also make the breakdowns explicit.",26,"The observations are only factual accounts, and doesn't demonstrate any empathetic reflection on how the usage of instagram affected the participants. ",22,2,2,2,true,2
2,"A need such as ""Students need to have an easy usage application, not too complicated to learn"" is too generic to offer any design opportunities.",25,,,2,2,2,true,2
2,"There were no explicit description on what breakdowns you saw in the observations. To relate to the brief, reflect on what kind of emotions the stories each participant found made them feel.",32,There were no explicit description on what breakdowns you saw in the observations. ,14,2,2,2,true,2
2,Great job focusing on user needs! The 1st photo didn't demonstrate much of a breakdown. May have been better to show what was on his screen to show that he doesn't use reminders or calendars,35,Great job focusing on user needs! The 1st photo didn't demonstrate much of a breakdown. ,16,2,2,2,true,2
2,"As we discussed in class, you should not ask people to describe how they think someone in New York does something. Instead, you want your interviewee to reflect on what they are an expert of: e.g. their own experiences. While it's great that you're reachi",61,"As we discussed in class, you should not ask people to describe how they think someone in New York does something. ",22,2,2,3,false,3
2,Photo 1: doesn't really cover the breakdown/design opportunities you observed with this participant,13,,,2,2,2,true,2
2,"Overall, I think it was great that you covered multiple avenues through which people decide to make book purchases. Most people will simply jump on the conclusion that there should be a catch-all app that everyone can use and viola, textbook exchange solv",64,"Overall, I think it was great that you covered multiple avenues through which people decide to make book purchases. ",20,1,1,1,true,1
2,not enough user needs; user needs are too similar and rephrased for different users,14,,,2,2,2,true,2
2,"Good work -- seems as if there are interesting design opportunities about scheduling, especially our reluctance to commit e.g. ""maybe syndrome"" Looking forward to learning more about this in future assignments",31,"Good work -- seems as if there are interesting design opportunities about scheduling, especially our reluctance to commit e.g. ",20,1,1,1,true,1
2,"some needs not relevant to brief, could be more insightful",10,,,2,2,2,true,2
2,"WARNING: Please follow instructions and submit as a PDF, not a doc.",12,,,3,3,3,true,3
2,"Relevance: A fair chunk of the observations/discussion appear much more centered around organization and multitasking, rather than information exchange.",19,,,2,2,2,true,2
2,Needs: Some seem in the duplicate realm. A few all about not getting distracted/multitasking etc.,15,,,2,2,2,true,2
2,10 - already mentioned to be able to be fixed via a true keyboard + being minor,17,,,2,2,2,true,2
2,Good observations. I enjoyed how diverse the observed people were.,10,,,1,1,1,true,1
2,"The user needs had a few too many feature descriptions, that were also duplicates. The crux of the issue seems to be to marry the physical interactivity a reader can have with a physical form with the advantageous features that a virtual form delivers.",44,"The user needs had a few too many feature descriptions, that were also duplicates. ",15,2,2,2,true,2
2,"The idea that in an instructor-student interaction, stories and feelings are being shared is interesting.",15,,,1,1,1,true,1
2,"However, this was not demonstrated in the observations, or their description. Specifically, the description from the professor or the TA's perspective was lacking. If they were displaying apathy, explicitly describe that. Also one observation that was spe",42,"However, this was not demonstrated in the observations, or their description. Specifically, the description from the professor or the TA's perspective was lacking. ",24,2,2,2,true,2
2,No photos given.,3,,,2,2,2,true,2
2,"This topic is definitely interesting. But the sketches submitted were sketches of features rather than of breakdowns or design opportunities. Observations were also not comprehensive, and some of the needs were articulated as features.",34,This topic is definitely interesting. But the sketches submitted were sketches of features rather than of breakdowns or design opportunities. ,21,2,2,2,true,2
2,Be careful not to focus on the solution too much. The needs were very feature-focused when they should be focused on the user's needs outside of technological solutions. Observations also need to be more clearly related to studio brief.,39,Be careful not to focus on the solution too much. ,11,2,3,2,false,2
2,"Topic is good, but user needs were missing from the submission. Also, 2nd sketch didn't demonstrate a breakdown and the 3rd observation was not very comprehensive.",26,"Topic is good, but user needs were missing from the submission. ",12,2,2,2,true,2
2,You did great!,3,,,1,1,1,true,1
2,First photo didn't demonstrate a breakdown necessarily. Observations and needs need to be more clearly related to studio brief.,19,,,3,2,2,false,3
2,I was confused as to how the interviews and observations related to a project idea. The sketches were more solutions rather than breakdowns. I was unclear as to exactly what activity you were observing or interviewing for.,37,I was confused as to how the interviews and observations related to a project idea. The sketches were more solutions rather than breakdowns. ,24,2,2,2,true,2
2,"Observations: some discussion seemed too focused on particular application interfaces from certain vendors. While these can be opportunities for some interface design projects, the variability in this can make it hard to find relevant needs for the activi",43,Observations: some discussion seemed too focused on particular application interfaces from certain vendors. ,14,2,2,2,true,2
2,"Photo 3:  not clear where the breakdown/design opportunity is here. If it's that the customer didn't have an ETA, what kind of slip did that cause for the delivery man?",31,Photo 3:  not clear where the breakdown/design opportunity is here. ,12,2,2,2,true,2
2,"some needs are too vague, or not insightful",8,,,2,2,2,true,2
2,"No clear activity picked, more of an amalgam of various things. While it was still valuable to go into these different activities not knowing exactly what you would find, you want to narrow down your activity in this stage of the design cycle to gain as m",55,"No clear activity picked, more of an amalgam of various things. ",12,2,2,2,true,2
2,Photo # 3: could have more clarity on the breakdown. Is it just lack of knowledge? Where does this user slip? Has he shown indication of trying to find other musicians? Which part of that along the way give slight to this breakdown? ,44,Photo # 3: could have more clarity on the breakdown. Is it just lack of knowledge? Where does this user slip? ,22,3,2,2,false,3
2,"Good choices of activities to observe regarding student organizations. Particularly interesting how much memory is involved in activities 1 & 2. From counting votes, to teaching routines, taking care of memory issues is always an opportunity for design in",41,Good choices of activities to observe regarding student organizations. Particularly interesting how much memory is involved in activities 1 & 2. ,22,1,1,1,true,1
2,Observations: could be a little bit more clear on where breakdowns/opportunities are occurring in some of your observations. Ex. Are there instances where Brian slips while going about the normal routine of correcting differences? Did any mishaps happen w,46,Observations: could be a little bit more clear on where breakdowns/opportunities are occurring in some of your observations. Ex. ,20,3,2,2,false,3
2,Missing photos + captions.,4,,,2,2,2,true,2
2,"Big problem space that will probably be relevant for a long time. Good diversity in observations, looking at multiple angles of the exchange. ",24,,,1,1,1,true,1
2,Photo/Caption 3: no clear demonstration of breakdown/design opportunity ,9,,,2,2,2,true,2
2,Needs: some redundancies in needs. Some lacking detail to become a basis for a design project.,16,,,2,2,2,true,2
2,Sketch captions don't describe the breakdown or design opportunity. I liked the organization of your user needs!,17,,,2,2,2,true,2
2,"Your observations were of college students, but your needs mentioned young kids. Make sure your needs address the population you observed. Some needs were slightly redundant. Your sketches and captions better described the breakdowns than your description",40,"Your observations were of college students, but your needs mentioned young kids. Make sure your needs address the population you observed. ",22,3,3,3,true,3
2,"Clear, but the scope of social collaboration can be broadened a bit rather than just only within games.",18,,,3,2,2,false,2
2,I was confused as to what you were observing. The observations did not demonstrate breakdowns that could serve as  design opportunities within the scope of this project. Some of the needs listed were focused on technologies rather than user needs. Remembe,75,I was confused as to what you were observing. ,10,2,2,2,true,2
2,nice work,2,,,1,1,1,true,1
2,No captions for photos,4,,,2,2,2,true,2
2,Ensure that you are discussing user needs *not* as solutions or features,12,,,3,3,3,true,3
2,Good job. I like how you observed a diverse set of people who use emoji as well as create emoji.,20,,,1,1,1,true,1
2,"Observations should provide more than a factual account of what you saw. For example, why does Axell share ""any message that is not raw text ... [through] Facebook""?",28,Observations should provide more than a factual account of what you saw. ,13,2,2,2,true,2
2,Some of your needs are much too feature oriented as opposed to a need that presents a design opportunity.,19,,,2,2,2,true,2
2,The explanation of how each music affected the participants in your observations was great.,14,,,1,1,1,true,1
2,"But your photos #1 and #2 were of solutions, not of the observation, breakdown, or design opportunities.",17,,,2,2,2,true,2
2,"Great diverse set of observations for this activity. Would have also been interesting to see how the rest of the exchange process goes, rather than the beginning, but I understand the constraints of time. Be careful about restricting insight to much to sp",82,Great diverse set of observations for this activity. ,9,1,1,1,true,1
2,"Parking! A longstanding problem that could definitely use some design improvement. I think it was good that you observed a good variety of breakdowns, from high-level locating to interface-level issues. ",31,Parking! A longstanding problem that could definitely use some design improvement. ,12,1,1,1,true,1
2,Photos: Not very clearly indicated how some of these photos are linked to the particular 3 observations that you made. Make sure that the captions provide enough detail for that. Is Hannah involved in one of these photos? etc.,39,Photos: Not very clearly indicated how some of these photos are linked to the particular 3 observations that you made. ,21,2,2,2,true,2
2,Needs: A number of redundancies in these needs that could easily be squashed into fewer needs. Could dig deeper into the core motiviations of those involving in this parking system exchange,31,Needs: A number of redundancies in these needs that could easily be squashed into fewer needs. ,17,3,2,3,false,3
2,"For Armando, it isn't quite clear from the observation writing where the breakdown/ design opportunity is. Everything seems to be going well for him and no issues are brought up. What went wrong with his methods of dividing tasks in his activities?",42,"For Armando, it isn't quite clear from the observation writing where the breakdown/ design opportunity is. ",17,2,2,2,true,2
2,"Your point: ""A modern community should allocate more space by integrating various facilities into single edifices or in proximate areas to promote activity. Such as taller buildings"" is *not* a user-generated need. Ensure that you are not framing needs as",43,"Your point: ""A modern community should allocate more space by integrating various facilities into single edifices or in proximate areas to promote activity. ",24,2,2,2,true,2
2,"Lastly, photo captions do not articulate breakdowns",7,,,2,2,2,true,2
2,User *needs* are very different to user *wants* -- ensure that you are not articulating needs as solutions or features,20,,,3,3,3,true,3
2,First photo's caption does not articulate a breakdown,8,,,2,2,2,true,2
2,Good job overall!,3,,,1,1,1,true,1
2,The observations and photos/captions should explicitly make clear where a breakdown appeared. A factual account is not an interesting observation.,20,,,3,3,2,false,3
2,"Since you chose different types of users to observe, a comparison or commonality of breakdowns between them would've been exciting to point out.",23,,,3,3,3,true,3
2,Good job!,2,,,1,1,1,true,1
2,excellent job! really insightful observations in different situations,8,,,1,1,1,true,1
2,A few of the needs listed are not quite as relevant to your activity of group discussion.,17,,,2,2,2,true,2
2,Good job on insightful breakdown observations!,6,,,1,1,1,true,1
2,Great topic and great job!,5,,,1,1,1,true,1
2,The topic and ideas are great! Be careful not to become too invovled during observations. You want to observe as if you're an outsider,24,,,3,3,2,false,3
2,"The topic is interesting, but needs to be more explicitly related to the studio brief. Also, only 2 participants were observed.",21,,,3,3,2,false,3
