ID,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original,original comment
44,2,5 6,The planned A/B test will involve measuring a quantifiable user behavior suitable for a chi-square test.,1,Point awarded since I gave you advice during studio after assignment submission.,12,1,1,0,Point awarded since I gave you advice during studio after assignment submission.
45,2,5 6,The planned A/B test will involve measuring a quantifiable user behavior suitable for a chi-square test.,1,"Be careful in analyzing the number of button clicks, as the number of clickable buttons differs in two versions",19,3,0,0,"Be careful in analyzing the number of button clicks, as the number of clickable buttons differs in two versions"
46,2,5 6,The planned A/B test will involve measuring a quantifiable user behavior suitable for a chi-square test.,1,Make sure to implement the _blank_ as buttons to be able to catch the click events!,16,3,0,0,Make sure to implement the images (that you're trying to collect clicks on) as buttons to be able to catch the click events!
47,2,5 6,The planned A/B test will involve measuring a quantifiable user behavior suitable for a chi-square test.,0,Your A/B test doesn't appear to be quantifiable because it doesn't seem like Google Analytics is able to track the described behavior. ,22,2,0,0,Your A/B test doesn't appear to be quantifiable because it doesn't seem like Google Analytics is able to track the described behavior.
48,2,7 8,All possible outcomes of the A/B test are identified and interpreted with implications on the design of the prototype.,0,No potential results or hypotheses provided.,6,2,0,0,No potential results or hypotheses provided.
49,2,7 8,All possible outcomes of the A/B test are identified and interpreted with implications on the design of the prototype.,0,"You did mention a possible outcome, but all outcomes should be taken into account.",14,3,0,0,"You did mention a possible outcome, but all outcomes should be taken into account (i.e. both a null and experimental hypothesis result)."
50,2,7 8,All possible outcomes of the A/B test are identified and interpreted with implications on the design of the prototype.,1,Be sure to explain and interpret the results in terms of test and null hypotheses.,15,3,0,0,Be sure to explain and interpret the results in terms of test and null hypotheses.
51,2,7 8,All possible outcomes of the A/B test are identified and interpreted with implications on the design of the prototype.,0,Potential results and interpretations were not mentioned,7,2,3,3,Potential results and interpretations were not mentioned
52,2,7 8,All possible outcomes of the A/B test are identified and interpreted with implications on the design of the prototype.,0,Users might still need to use the _blank_ page to edit an _blank_.,13,2,0,0,Users might still need to use the Manage Events page to edit an event.
53,2,7 8,All possible outcomes of the A/B test are identified and interpreted with implications on the design of the prototype.,0,Unmet; possible outcomes not identified; measure is vague,8,2,0,0,Unmet; possible outcomes not identified; measure is vague
54,2,7 8,All possible outcomes of the A/B test are identified and interpreted with implications on the design of the prototype.,0,"You need to provide an explanation as to why the test turned out the way it did, even if it isn't correct.",22,3,0,0,"You need to provide an explanation as to why the test turned out the way it did, even if it isn't correct."
55,2,7 8,All possible outcomes of the A/B test are identified and interpreted with implications on the design of the prototype.,0,Explanation of outcome of A/B testing could be more in depth -- maybe explain what your null hypothesis is,19,3,0,0,Explanation of outcome of A/B testing could be more in depth -- maybe explain what your null hypothesis is
56,2,7 8,All possible outcomes of the A/B test are identified and interpreted with implications on the design of the prototype.,0,vague measures lead to vague outcomes and interpretations,8,2,0,0,vague measures lead to vague outcomes and interpretations
57,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,Be sure to mention who does which task so I can see how work was delegated among teammates,18,3,1,1,Be sure to mention who does which task so I can see how work was delegated among teammates
58,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,"Your distribution of work is uneven, be sure that everyone is contributing a fair amount.",15,3,0,0,"Your distribution of work is uneven, be sure that everyone is contributing a fair amount."
59,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,Good job getting your stretch goals accomplished!,7,1,0,0,Good job getting your stretch goals accomplished!
60,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",0,Please plan one week in advance so that progress can be compared.,12,3,0,0,Please plan one week in advance so that progress can be compared. include development tasks other than those strictly required by the assignment.
61,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",0,include development tasks other than those strictly required by the assignment.,11,3,0,0,include development tasks other than those strictly required by the assignment.
62,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,Tasks need to be more specific.,6,2,0,0,Tasks need to be more specific (and actionable).
63,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,I don't think I mentioned this before; your development plan's design is great :),14,1,0,0,I don't think I mentioned this before; your development plan's design is great :)
64,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,Good job. Looking forward to your finale!,7,1,0,0,Good job. Looking forward to your finale!
65,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,Really great job in observing breakdowns and proposing design changes.,10,1,0,0,Really great job in observing breakdowns and proposing design changes. Looking forward to your finale!
66,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,The button styling does not appear to be consistent,9,2,0,0,"The button styling does not appear to be consistent (if you end up using the red ""Add Task"" button)"
67,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,"in _blank_, the _blank_ is a bit too wide",9,2,0,0,"in /runPage, the navbar is a bit too wide (use your media queries)"
68,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,The fonts are a bit inconsistent/ do not match,9,2,0,0,The fonts are a bit inconsistent/ do not match
69,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,Development plan is not attached,5,2,0,0,Development plan is not attached
70,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",1,"i dont need the whole thing, just last and this week",11,2,0,0,"i dont need the whole thing, just last and this week"
71,3/4,0 1/3,"Development plan is included as a PDF, is easy for your TA to read and understand, and has been updated to show progress and additional tasks in the new version compared to the previous week.",0,"not detailed enough, shows that you arent working on your app very much. is that true or not?",18,2,0,0,"not detailed enough, shows that you arent working on your app very much. is that true or not?"
