ID,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original
,,9,Prototype is ready to be presented and doesn't need any more details or polishing.,0,I see 'undefined' in the _blank_ on the home page.,10,2,,
,,9,Prototype is ready to be presented and doesn't need any more details or polishing.,0,Can't seem to add a _blank_.,6,2,,
,,9,Prototype is ready to be presented and doesn't need any more details or polishing.,1,"could be polished more, but as of now its fine to be presented",13,1,,
,,10,Accomplishing a primary goal in the app does not require the user to make unnecessary steps.,1,Some of the steps necessary to the end user-goal feels lengthy,11,2,,
,,10,Accomplishing a primary goal in the app does not require the user to make unnecessary steps.,1,Good incremental improvement!,3,1,,
,,10,Accomplishing a primary goal in the app does not require the user to make unnecessary steps.,0,Expected functionality would include changing/removing _blank_.,6,2,,
,,11,Prototype follows an aesthetic design that is consistent across webpages.,1,"Navigation could do with some improvements, but I'm nitpicking.",9,2,,
,,11,Prototype follows an aesthetic design that is consistent across webpages.,1,The application _blank_ being manually set is a bit clumsy.,10,2,,
,,13,Prototype contains text that is easy to read (i.e. no white text on light background or vice versa) on all webpages.,1,Nice simple design!,3,1,,
,,14,A family-friendly and tasteful final name for the app is submitted.,1,I like the logo!,4,1,,
,,14,A family-friendly and tasteful final name for the app is submitted.,1,The choice of colors probably has just enough contrast.,9,1,,
,,14,A family-friendly and tasteful final name for the app is submitted.,0,Use of _blank_ on a _blank_ background offers little contrast to ease readability.,13,2,,
,,15,"Link to demo video is publicly viewable, and the video is 1.5-minutes long (no credit if it is longer than 1.5 minutes).",1,"Link not provided in the submission, retrieved from spreadsheet",9,2,,
,,15,"Link to demo video is publicly viewable, and the video is 1.5-minutes long (no credit if it is longer than 1.5 minutes).",0,Video is a bit too long at _blank_,8,2,,
,,15,"Link to demo video is publicly viewable, and the video is 1.5-minutes long (no credit if it is longer than 1.5 minutes).",0,Unmet,1,2,,
,,15,"Link to demo video is publicly viewable, and the video is 1.5-minutes long (no credit if it is longer than 1.5 minutes).",0,over time,2,2,,
,,16,Demo video communicates the app at a high level without seeming cluttered.,0,the beginning has too much stuff going on in it,10,2,,
,,17,Demo video sufficiently explains the point of view and project concept with relation to the studio brief.,0,POV and studio brief relation not explicitly mentioned,8,2,,
,,17,Demo video sufficiently explains the point of view and project concept with relation to the studio brief.,0,No explicit relation to the studio brief,7,2,,
,,18,Demo video clearly articulates a user need that the app aims to address.,0,User need not articulated,4,2,,
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,Good work on the _blank_ functionality! Creative idea. Good work all quarter long :),14,1,,
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,Great job on an interesting idea!! Good work all quarter :),11,1,,
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,Good work on getting the main functionality working! It's been great seeing your progress this quarter.,16,1,,
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,Good work throughout the quarter!,5,1,,
,,19,Demo video shows a walkthrough through the important functionality of the actual app itself working in a web browser.,1,"A nice, polished app. Great work all quarter!",8,1,2,2
,,20,Extra credit,1,You all have made such good progress since the beginning of the quarter. Great work!,15,1,,
,,20,Extra credit,1,Extra credit awarded because of your consistent hard work throughout the quarter! Great user-centered design. Your video made me smile :),21,1,,
,,20,Extra credit,1,Everyone was impressed with your app functionality! Great job! Thanks for a great quarter :),15,1,,
,,20,Extra credit,1,Neat functionality! Great work this quarter! It's been fun working with you all and seeing your progress.,17,1,,
