ID,rubric number,rubric item,score,comments,length,category,frequency,original comment
40,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,0,No detail to develop from in these storyboards,8,2,0,No detail to develop from in these storyboards
41,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,0,_blank_ is detailed but focuses on the wrong things,14,2,0,"#1 not clear, #2 not detailed, #3 detailed but focuses on the wrong things"
42,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,1,Generous here because the storyboards aren't very divergent,8,2,0,Generous here because the storyboards aren't very divergent
43,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,"I love the analogy here, but the need and satisfaction are a bit unclear",14,2,2,"I love the analogy here, but the need and satisfaction are a bit unclear"
44,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,This storyboard has a little too much focus on the specific features of the app and the interface.,18,2,1,This storyboard has a little too much focus on the specific features of the app and the interface.
45,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Good work!,2,1,0,Good work!
46,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Sounds great!,2,1,2,Sounds great!
47,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Try establishing the need more clearly.,6,2,1,Try establishing the need more clearly.
48,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Please select only the relevant pages next time (thanks)!,9,3,0,Please select only the relevant pages next time (thanks)!
49,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,"How the app actually helps fulfill the need is ambiguous (that should be addressed). Nicely explained situation, though.",18,3,1,"How the app actually helps fulfill the need is ambiguous (that should be addressed). Nicely explained situation, though."
50,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,No real solution here,4,2,5,No real solution here
51,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,Too unclear,2,2,1,Too unclear
52,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,There is no need satisfaction at the end of your board.,14,2,0,"As mentioned earlier, there is no need satisfaction at the end of your board."
53,6,"Storyboard #2’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,User need not too well-demonstrated,5,2,0,User need not too well-demonstrated
54,6,"Storyboard #2’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,_blank_ is too broadly phrased to give a good idea what the app assists in doing.,17,2,0,Organizing tasks is too broadly phrased to give a good idea what the app assists in doing.
55,6,"Storyboard #2’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,"Overall, it's a bit ambiguous and focuses on features of the app.",12,2,0,"Overall, it's a bit ambiguous and focuses on features of the app."
56,6,"Storyboard #2’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Looks great (note that such level of detail is not necessary)!,11,1,0,Looks great (note that such level of detail is not necessary)!
57,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Is the target audience only those who are interested in _blank_?,13,2,0,"Is the target audience only those who are interested in bodybuilding? (Specifically, male?)"
58,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,The leap from using the app to _blank_ is unclear.,12,2,0,The leap from using the app to playing a game is unclear.
59,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,This storyboard doesn't address the _blank_ aspect of your POV,10,2,0,This storyboard doesn't address the routine aspect of your POV
60,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,There is a fair bit of repetition in the elements portrayed in the storyboards.,14,2,0,There is a fair bit of repetition in the elements portrayed in the storyboards.
61,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,Missed the point of using a storyboard,7,2,0,Missed the point of using a storyboard
62,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,Panel _blank_ to _blank_ is non sequitur,7,2,0,Panel 3 to 4 is non sequitur
63,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,The storyboard does not state a problem of a user.,10,2,0,The storyboard does not state a problem of a user.
64,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Good job. It would be good to see the interaction regarding what happens after _blank_.,18,3,0,Good job. It would be good to see the interaction regarding what happens after cooking the app's recommendation.
65,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,The main page states _blank_ but the only function it shows in the prototype is _blank_,26,2,0,"The main page of Jobview states ""Manage your interviews with style"" but the only function it shows in the prototype to manage interviews is ""Add company"""
67,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,The prototype doesn't show how users can achieve _blank_ as described in storyboard #_blank_,17,2,0,The prototype doesn't show how users can achieve prioritization of their tasks as described in storyboard #2
68,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,"This is too simplistic an idea to pursue for a long enough project as this. Well executed, though!",18,2,0,"This is too simplistic an idea to pursue for a long enough project as this. Well executed, though!"
69,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Making a Chrome extension is unchartered territory for this course which comes with its own set of risks.,20,2,0,"As discussed, making a Chrome extension is unchartered territory for this course which comes with its own set of risks."
70,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,"This has very little functionality, and isn't really a paper prototype",11,2,0,"This has very little functionality, and isn't really a paper prototype"
71,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Nice,1,1,0,Nice
72,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,"not for mobile form factor, no functionality",7,2,0,"not for mobile form factor, no functionality"
73,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,It's missing a science/data component and is missing too much detail,11,2,0,It's missing a science/data component and is missing too much detail
74,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Some aspects of the interaction missing such as _blank_.,16,2,0,"Some aspects of the interaction missing such as how to input budgets, how to make goals."
75,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Some of the functionality is unclear. What else can the app do besides have the user input _blank_?,19,2,0,Some of the functionality is unclear. What else can the app do besides have the user input dog info?
76,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Is it just a _blank_? Are there other pages or tabs to navigate to?,17,2,0,Is it just a map with better recommendations? Are there other pages or tabs to navigate to?
77,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Not all parts of the interface are clear.,18,2,0,"Also, not all parts of the interface are clear."
78,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,Well presented!,2,1,0,Well presented!
79,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,"Of the limited interaction, seems accessible for development",8,1,0,"Of the limited interaction, seems accessible for development"
80,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Missing details,2,2,0,Missing details
81,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,"Good job on the functionality that is present, but again, could benefit from fleshing out more.",16,2,0,"Good job on the functionality that is present, but again, could benefit from fleshing out more."
82,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,I don't see enough detail. You haven't explored all the options that your app provides on the home screen..,19,2,0,I don't see enough detail. You haven't explored all the options that your app provides on the home screen..
83,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,"Your point of view wasn't clear, though the prototype does connect with the storyboard..",14,2,0,"Your point of view wasn't clear, though the prototype does connect with the storyboard.."
84,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,the fidelity could be better,5,2,0,the fidelity could be better
85,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,"very cluttered, it would be hard to make a functional app from this",13,2,0,"very cluttered, it would be hard to make a functional app from this"
86,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,1 for the good design :),6,1,0,1 for the good design :)
87,10,Paper prototype #1 connects to the point of view and a storyboard.,1,I don't really see how this is connected to the specific POV. Point given for connecting with a storyboard,19,2,0,I don't really see how this is connected to the specific POV. Point given for connecting with a storyboard
88,10,Paper prototype #1 connects to the point of view and a storyboard.,1,"Interesting idea, but why would people care about _blank_? What's the reward?",14,2,0,"Interesting idea, but why would people care about growing their ""garden""? What's the reward?"
89,10,Paper prototype #1 connects to the point of view and a storyboard.,0,Where's the science?,3,2,0,Where's the science?
90,10,Paper prototype #1 connects to the point of view and a storyboard.,0,Because the POV was incorrect.,5,2,0,Because the POV was incorrect.
91,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Nicely done! Reduce the clutter a bit and this can be a great way to _blank_,18,3,0,Nicely done! Reduce the clutter a bit and this can be a great way to see remaining food...
92,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,Limited functionality,2,2,0,Limited functionality
94,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,This prototype doesn't really stand on its own as a _blank_.,13,2,0,This prototype doesn't really stand on its own as a citizen science platform.
95,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Where's the science?,3,2,0,Where's the science?
96,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,The prototype seems incomplete and appears to lack important pages/interactions.,10,2,0,The prototype seems incomplete and appears to lack important pages/interactions.
97,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,not enough details,3,2,0,not enough details
99,12,"Paper prototype #2 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Same comment as for prototype #1.,6,2,0,Same comment as for prototype #1.
100,12,"Paper prototype #2 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Missing too much detail,4,2,0,Missing too much detail
101,12,"Paper prototype #2 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,Good level of detail,4,1,0,Good level of detail
102,12,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,I really like this one. Great job!,7,1,0,I really like this one. Great job!
103,12,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,needs more fidelity,3,2,0,needs more fidelity
104,13,Paper prototype #2 connects to the point of view and a storyboard.,1,Good job!,2,1,0,Good job!
105,13,Paper prototype #2 connects to the point of view and a storyboard.,0,This doesn't connect to your POV or a particular storyboard.,10,2,0,This doesn't connect to your POV or a particular storyboard.
106,13,Paper prototype #2 connects to the point of view and a storyboard.,1,"I understand the point, but how does this differ from sites like _blank_?",16,2,0,"I understand the point, but how does this differ from sites like imgur or even Instagram?"
107,13,Paper prototype #2 connects to the point of view and a storyboard.,0,Lack of detail fails to connect it to anything,9,2,0,Lack of detail fails to connect it to anything
108,13,Paper prototype #2 connects to the point of view and a storyboard.,1,"quite questionable, but I'll give you the point",8,2,0,"quite questionable, but I'll give you the point"
