ID,rubric number,rubric item,score,comments,length,category,frequency,,,original comment
17,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,The _blank_ storyboard is the only one that really shows the _blank_ component of your ideas.,16,2,0,,,
18,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,"Too caption-heavy, try making better use of speech bubbles!",9,3,0,,,
19,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Somewhat text-heavy.,2,2,0,,,
20,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,"Try to keep details to a minimum. Storyboards are not meant to be elaborately illustrated. Good drawing, though :)",19,3,0,,,
21,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Avoid using a pen completely!,5,3,0,,,
22,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,The first storyboard should have used a thicker instrument -- it's just not the same with a pen.,18,3,0,,,
23,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,Doesn't really show how the app solves the problems,9,2,0,,,
24,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,"Great storyboards, but taboo/uninspired solutions.",5,2,0,,,
25,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,These aren't different solutions.,4,2,0,,,
26,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,"Too many words. These solutions are not divergent enough, it's the same basic premise underneath.",15,2,0,,,
27,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Being generous here. #_blank_ is not detailed enough.,8,2,0,,,
28,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,_blank_ doesn't seem feasible/practical,4,2,0,,,
29,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,I really like the idea in the _blank_ panel in #_blank_.,13,1,0,,,
30,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,_blank_ doesn't address the POV. _blank_ is good.,8,2,0,,,
31,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,0,"Because the POV is incorrect, the storyboards are not engaging with the POV correctly.",14,2,0,,,
32,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Storyboard #_blank_ needs to have a little more detail about how the user interacts with the app...,17,3,0,,,
33,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,"They are very, very similar. I'll give you the point though since the app itself is differing with each storyboard",20,2,0,,,
34,2,Storyboards illustrate 3 different ideas that engage the point of view in different ways,1,Plus 1 for the _blank_ joke on storyline _blank_ :D,9,1,1,,,
35,3,Storyboards are drawn with a Sharpie or thick marker to focus on high-level design.,1,Tip: having panels would provide some structure to the storyboard.,10,3,0,,,
36,3,Storyboards are drawn with a Sharpie or thick marker to focus on high-level design.,1,"Good ideas, but there could be many alternatives that already exist: try to think how your offering is novel.",19,3,0,,,
37,3,Storyboards are drawn with a Sharpie or thick marker to focus on high-level design.,0,Storyboards are too focused on the dialogue which draws away from the high level design.,15,2,0,,,
38,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,0,It would be difficult to develop a prototype from these storyboards alone.,12,2,0,,,
39,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,1,"Reduce the focus on how the interface would be, otherwise crisp :)",12,3,0,,,
40,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,0,No detail to develop from in these storyboards,8,2,0,,,
41,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,0,_blank_ is detailed but focuses on the wrong things,14,2,0,,,
42,4,Storyboards’ sequences are easy to follow. Someone else could come up with a distinct prototype that would correspond with the point of view just from looking at the storyboard,1,Generous here because the storyboards aren't very divergent,8,2,0,,,
43,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,"I love the analogy here, but the need and satisfaction are a bit unclear",14,2,2,,,
44,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,This storyboard has a little too much focus on the specific features of the app and the interface.,18,2,1,,,
45,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Good work!,2,1,0,,,
46,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Sounds great!,2,1,2,,,
47,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Try establishing the need more clearly.,6,2,1,,,
48,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Please select only the relevant pages next time (thanks)!,9,3,0,,,
49,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,"How the app actually helps fulfill the need is ambiguous (that should be addressed). Nicely explained situation, though.",18,3,1,,,
50,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,No real solution here,4,2,5,,,
51,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,Too unclear,2,2,1,,,
52,5,"Storyboard #1’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,There is no need satisfaction at the end of your board.,14,2,0,,,
53,6,"Storyboard #2’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,User need not too well-demonstrated,5,2,0,,,
54,6,"Storyboard #2’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,_blank_ is too broadly phrased to give a good idea what the app assists in doing.,17,2,0,,,
55,6,"Storyboard #2’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,"Overall, it's a bit ambiguous and focuses on features of the app.",12,2,0,,,
56,6,"Storyboard #2’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Looks great (note that such level of detail is not necessary)!,11,1,0,,,
57,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,Is the target audience only those who are interested in _blank_?,13,2,0,,,
58,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,The leap from using the app to _blank_ is unclear.,12,2,0,,,
59,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",1,This storyboard doesn't address the _blank_ aspect of your POV,10,2,0,,,
60,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,There is a fair bit of repetition in the elements portrayed in the storyboards.,14,2,0,,,
61,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,Missed the point of using a storyboard,7,2,0,,,
62,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,Panel _blank_ to _blank_ is non sequitur,7,2,0,,,
63,7,"Storyboard #3’s setting begins with a clear user need, and ends with a satisfaction addressing it.",0,The storyboard does not state a problem of a user.,10,2,0,,,
64,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Good job. It would be good to see the interaction regarding what happens after _blank_.,18,3,0,,,
65,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,The main page states _blank_ but the only function it shows in the prototype is _blank_,26,2,0,,,
67,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,The prototype doesn't show how users can achieve _blank_ as described in storyboard #_blank_,17,2,0,,,
68,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,"This is too simplistic an idea to pursue for a long enough project as this. Well executed, though!",18,2,0,,,
69,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Making a Chrome extension is unchartered territory for this course which comes with its own set of risks.,20,2,0,,,
70,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,"This has very little functionality, and isn't really a paper prototype",11,2,0,,,
71,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Nice,1,1,0,,,
72,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,"not for mobile form factor, no functionality",7,2,0,,,
73,8,Paper prototype #1 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,It's missing a science/data component and is missing too much detail,11,2,0,,,
74,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Some aspects of the interaction missing such as _blank_.,16,2,0,,,
75,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Some of the functionality is unclear. What else can the app do besides have the user input _blank_?,19,2,0,,,
76,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Is it just a _blank_? Are there other pages or tabs to navigate to?,17,2,0,,,
77,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Not all parts of the interface are clear.,18,2,0,,,
78,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,Well presented!,2,1,0,,,
79,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,"Of the limited interaction, seems accessible for development",8,1,0,,,
80,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Missing details,2,2,0,,,
81,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,"Good job on the functionality that is present, but again, could benefit from fleshing out more.",16,2,0,,,
82,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,I don't see enough detail. You haven't explored all the options that your app provides on the home screen..,19,2,0,,,
83,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,"Your point of view wasn't clear, though the prototype does connect with the storyboard..",14,2,0,,,
84,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,the fidelity could be better,5,2,0,,,
85,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,"very cluttered, it would be hard to make a functional app from this",13,2,0,,,
86,9,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,1 for the good design :),6,1,0,,,
87,10,Paper prototype #1 connects to the point of view and a storyboard.,1,I don't really see how this is connected to the specific POV. Point given for connecting with a storyboard,19,2,0,,,
88,10,Paper prototype #1 connects to the point of view and a storyboard.,1,"Interesting idea, but why would people care about _blank_? What's the reward?",14,2,0,,,
89,10,Paper prototype #1 connects to the point of view and a storyboard.,0,Where's the science?,3,2,0,,,
90,10,Paper prototype #1 connects to the point of view and a storyboard.,0,Because the POV was incorrect.,5,2,0,,,
91,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Nicely done! Reduce the clutter a bit and this can be a great way to _blank_,18,3,0,,,
92,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,Limited functionality,2,2,0,,,
94,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,This prototype doesn't really stand on its own as a _blank_.,13,2,0,,,
95,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,1,Where's the science?,3,2,0,,,
96,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,The prototype seems incomplete and appears to lack important pages/interactions.,10,2,0,,,
97,11,Paper prototype #2 presents an interface (at a sketch level) that accomplishes the design's major functionality.,0,not enough details,3,2,0,,,
99,12,"Paper prototype #2 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Same comment as for prototype #1.,6,2,0,,,
100,12,"Paper prototype #2 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,Missing too much detail,4,2,0,,,
101,12,"Paper prototype #2 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,Good level of detail,4,1,0,,,
102,12,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",1,I really like this one. Great job!,7,1,0,,,
103,12,"Paper prototype #1 has enough detail that the user can see all of the interactions, understand how they work, and a programmer could use the prototype to create a functional application with a defined",0,needs more fidelity,3,2,0,,,
104,13,Paper prototype #2 connects to the point of view and a storyboard.,1,Good job!,2,1,0,,,
105,13,Paper prototype #2 connects to the point of view and a storyboard.,0,This doesn't connect to your POV or a particular storyboard.,10,2,0,,,
106,13,Paper prototype #2 connects to the point of view and a storyboard.,1,"I understand the point, but how does this differ from sites like _blank_?",16,2,0,,,
107,13,Paper prototype #2 connects to the point of view and a storyboard.,0,Lack of detail fails to connect it to anything,9,2,0,,,
108,13,Paper prototype #2 connects to the point of view and a storyboard.,1,"quite questionable, but I'll give you the point",8,2,0,,,
